candidate_id,method,seed_block,stage,reason,parent_identity,designed_position_identity,is_mock
matched_random_mutation-seed20260731-proposal1-matched-random-6E9F-A-21260731-0000,matched_random_mutation,20260731,identity_matching,eligible_not_selected_by_deterministic_tie_break,0.20717592592592593,0.20348837209302326,False
matched_random_mutation-seed20260732-proposal1-matched-random-6E9F-A-21260732-0000,matched_random_mutation,20260732,identity_matching,eligible_not_selected_by_deterministic_tie_break,0.19444444444444445,0.19069767441860466,False
msa_profile_sampling-seed20260731-proposal1-msa-profile-6E9F-A-21260731-0000,msa_profile_sampling,20260731,identity_matching,eligible_not_selected_by_deterministic_tie_break,0.23148148148148148,0.22790697674418606,False
msa_profile_sampling-seed20260732-proposal1-msa-profile-6E9F-A-21260732-0000,msa_profile_sampling,20260732,identity_matching,eligible_not_selected_by_deterministic_tie_break,0.2199074074074074,0.21627906976744185,False
unconstrained_esm_if1-seed20260731-proposal1-esm_if1_constrained-6E9F-A-267f4f990ce0-0000,unconstrained_esm_if1,20260731,identity_matching,eligible_not_selected_by_deterministic_tie_break,0.2199074074074074,0.21627906976744185,False
unconstrained_esm_if1-seed20260732-proposal0-esm_if1_constrained-6E9F-A-b52b5300fc10-0000,unconstrained_esm_if1,20260732,identity_matching,eligible_not_selected_by_deterministic_tie_break,0.22337962962962962,0.21976744186046512,False
catalytic_only_fixed_esm_if1-seed20260731-proposal1-esm_if1_constrained-6E9F-A-267f4f990ce0-0000,catalytic_only_fixed_esm_if1,20260731,identity_matching,eligible_not_selected_by_deterministic_tie_break,0.2199074074074074,0.21627906976744185,False
catalytic_only_fixed_esm_if1-seed20260732-proposal0-esm_if1_constrained-6E9F-A-b52b5300fc10-0000,catalytic_only_fixed_esm_if1,20260732,identity_matching,eligible_not_selected_by_deterministic_tie_break,0.22337962962962962,0.21976744186046512,False
conservation_constrained_esm_if1-seed20260731-proposal0-esm_if1_constrained-6E9F-A-da187310388d-0000,conservation_constrained_esm_if1,20260731,identity_matching,eligible_not_selected_by_deterministic_tie_break,0.28125,0.2779069767441861,False
conservation_constrained_esm_if1-seed20260732-proposal1-esm_if1_constrained-6E9F-A-4acb53bbadd4-0000,conservation_constrained_esm_if1,20260732,identity_matching,eligible_not_selected_by_deterministic_tie_break,0.26967592592592593,0.26627906976744187,False
conservation_rna_contact_esm_if1-seed20260731-proposal0-esm_if1_constrained-6E9F-A-4b50d504502c-0000,conservation_rna_contact_esm_if1,20260731,identity_matching,eligible_not_selected_by_deterministic_tie_break,0.30324074074074076,0.3,False
conservation_rna_contact_esm_if1-seed20260732-proposal1-esm_if1_constrained-6E9F-A-29bfdd1b8e20-0000,conservation_rna_contact_esm_if1,20260732,identity_matching,eligible_not_selected_by_deterministic_tie_break,0.29398148148148145,0.29069767441860467,False
proteinmpnn-seed20260731-proposal1-proteinmpnn-6E9F-A-769aecb0e5e8-0000,proteinmpnn,20260731,identity_matching,eligible_not_selected_by_deterministic_tie_break,0.2349537037037037,0.2313953488372093,False
proteinmpnn-seed20260732-proposal0-proteinmpnn-6E9F-A-e4fe71117a67-0000,proteinmpnn,20260732,identity_matching,eligible_not_selected_by_deterministic_tie_break,0.2175925925925926,0.21395348837209302,False
ligandmpnn-seed20260731-proposal1-ligandmpnn-6E9F-A-7464f73759ec-0000,ligandmpnn,20260731,identity_matching,eligible_not_selected_by_deterministic_tie_break,0.27314814814814814,0.26976744186046514,False
ligandmpnn-seed20260732-proposal1-ligandmpnn-6E9F-A-ce0e52f6133a-0000,ligandmpnn,20260732,identity_matching,eligible_not_selected_by_deterministic_tie_break,0.2800925925925926,0.27674418604651163,False
esm-if1-ligandmpnn-consensus-seed20260731-proposal1,esm_if1_ligandmpnn_consensus,20260731,identity_matching,eligible_not_selected_by_deterministic_tie_break,0.25,0.24651162790697675,False
esm-if1-ligandmpnn-consensus-seed20260732-proposal1,esm_if1_ligandmpnn_consensus,20260732,identity_matching,eligible_not_selected_by_deterministic_tie_break,0.25,0.24651162790697675,False
matched_random_mutation-seed20260732-proposal0-matched-random-6E9F-A-20260732-0000,matched_random_mutation,20260732,sequence_novelty_qc,no_atlas_hit_at_required_query_coverage,0.24421296296296297,0.24069767441860465,False
unconstrained_esm_if1-seed20260732-proposal1-esm_if1_constrained-6E9F-A-ecf90ee5658b-0000,unconstrained_esm_if1,20260732,sequence_novelty_qc,no_atlas_hit_at_required_query_coverage,0.23032407407407407,0.22674418604651161,False
catalytic_only_fixed_esm_if1-seed20260732-proposal1-esm_if1_constrained-6E9F-A-ecf90ee5658b-0000,catalytic_only_fixed_esm_if1,20260732,sequence_novelty_qc,no_atlas_hit_at_required_query_coverage,0.23032407407407407,0.22674418604651161,False
conservation_rna_contact_esm_if1-seed20260731-proposal1-esm_if1_constrained-6E9F-A-59eef3b0e4ad-0000,conservation_rna_contact_esm_if1,20260731,sequence_novelty_qc,low_complexity_windows_above_threshold,0.28935185185185186,0.28604651162790695,False
