candidate_id,method,seed_block,buried_core_recovery,rna_interface_recovery,crrna_interface_recovery,target_rna_interface_recovery,rna_second_shell_recovery,hepn_region_recovery
matched_random_mutation-seed20260731-proposal0-matched-random-6E9F-A-20260731-0000,matched_random_mutation,20260731,0.27865612648221344,0.28125,0.28440366972477066,0.28205128205128205,0.2222222222222222,1.0
matched_random_mutation-seed20260732-proposal0-matched-random-6E9F-A-20260732-0000,matched_random_mutation,20260732,0.21739130434782608,0.2109375,0.2018348623853211,0.23076923076923078,0.3111111111111111,1.0
msa_profile_sampling-seed20260731-proposal0-msa-profile-6E9F-A-20260731-0000,msa_profile_sampling,20260731,0.32608695652173914,0.46875,0.47706422018348627,0.5128205128205128,0.2814814814814815,1.0
msa_profile_sampling-seed20260732-proposal0-msa-profile-6E9F-A-20260732-0000,msa_profile_sampling,20260732,0.30434782608695654,0.421875,0.43119266055045874,0.4358974358974359,0.31851851851851853,1.0
unconstrained_esm_if1-seed20260731-proposal0-esm_if1_constrained-6E9F-A-e07cf56a2f59-0000,unconstrained_esm_if1,20260731,0.31620553359683795,0.234375,0.25688073394495414,0.23076923076923078,0.22962962962962963,1.0
unconstrained_esm_if1-seed20260732-proposal1-esm_if1_constrained-6E9F-A-ecf90ee5658b-0000,unconstrained_esm_if1,20260732,0.2826086956521739,0.21875,0.22935779816513763,0.20512820512820512,0.2814814814814815,1.0
catalytic_only_fixed_esm_if1-seed20260731-proposal0-esm_if1_constrained-6E9F-A-e07cf56a2f59-0000,catalytic_only_fixed_esm_if1,20260731,0.31620553359683795,0.234375,0.25688073394495414,0.23076923076923078,0.22962962962962963,1.0
catalytic_only_fixed_esm_if1-seed20260732-proposal1-esm_if1_constrained-6E9F-A-ecf90ee5658b-0000,catalytic_only_fixed_esm_if1,20260732,0.2826086956521739,0.21875,0.22935779816513763,0.20512820512820512,0.2814814814814815,1.0
conservation_constrained_esm_if1-seed20260731-proposal1-esm_if1_constrained-6E9F-A-403cce8e0bf0-0000,conservation_constrained_esm_if1,20260731,0.3359683794466403,0.3671875,0.3853211009174312,0.358974358974359,0.26666666666666666,1.0
conservation_constrained_esm_if1-seed20260732-proposal0-esm_if1_constrained-6E9F-A-d2efb8d7eec0-0000,conservation_constrained_esm_if1,20260732,0.34189723320158105,0.3515625,0.3669724770642202,0.38461538461538464,0.28888888888888886,1.0
conservation_rna_contact_esm_if1-seed20260731-proposal1-esm_if1_constrained-6E9F-A-59eef3b0e4ad-0000,conservation_rna_contact_esm_if1,20260731,0.3695652173913043,0.5390625,0.5596330275229358,0.5897435897435898,0.26666666666666666,1.0
conservation_rna_contact_esm_if1-seed20260732-proposal0-esm_if1_constrained-6E9F-A-e8c6f333172d-0000,conservation_rna_contact_esm_if1,20260732,0.37549407114624506,0.5390625,0.5688073394495413,0.6153846153846154,0.3037037037037037,1.0
proteinmpnn-seed20260731-proposal0-proteinmpnn-6E9F-A-e26da9de4d1b-0000,proteinmpnn,20260731,0.30632411067193677,0.21875,0.23853211009174313,0.20512820512820512,0.25925925925925924,1.0
proteinmpnn-seed20260732-proposal1-proteinmpnn-6E9F-A-3d95ffcc946e-0000,proteinmpnn,20260732,0.2766798418972332,0.2109375,0.22935779816513763,0.2564102564102564,0.24444444444444444,1.0
ligandmpnn-seed20260731-proposal0-ligandmpnn-6E9F-A-f28deb1151ab-0000,ligandmpnn,20260731,0.3359683794466403,0.2734375,0.27522935779816515,0.3076923076923077,0.24444444444444444,1.0
ligandmpnn-seed20260732-proposal0-ligandmpnn-6E9F-A-1ab7e73785d7-0000,ligandmpnn,20260732,0.3339920948616601,0.28125,0.27522935779816515,0.28205128205128205,0.22962962962962963,1.0
esm-if1-ligandmpnn-consensus-seed20260731-proposal0,esm_if1_ligandmpnn_consensus,20260731,0.3557312252964427,0.296875,0.30275229357798167,0.3076923076923077,0.21481481481481482,1.0
esm-if1-ligandmpnn-consensus-seed20260732-proposal0,esm_if1_ligandmpnn_consensus,20260732,0.35375494071146246,0.265625,0.27522935779816515,0.20512820512820512,0.23703703703703705,1.0
