candidate_id,scaffold_id,pdb_id,method,seed,parent_identity,designed_position_identity,conditional_log_likelihood,mean_conditional_log_likelihood,perplexity,fixed_position_violations,core_recovery,rna_interface_recovery,rna_second_shell_recovery,hepn_recovery,rna_atomic_context,homopolymer_failure,low_complexity_failure,is_mock,evidence_level
common_safety_mask_esm_if1-EsCas13d-6E9F-seed20260801,EsCas13d,6E9F,common_safety_mask_esm_if1,20260801,0.37840670859538783,0.22987012987012986,-1735.2747473942582,-2.0084198465211323,7.451533473065797,0,0.3952569169960474,0.765625,0.2,1.0,False,False,False,False,2
conservation_esm_if1-EsCas13d-6E9F-seed20260801,EsCas13d,6E9F,conservation_esm_if1,20260801,0.40041928721174,0.2571428571428571,-1709.845110062568,-1.97898739590575,7.2354126659426194,0,0.4308300395256917,0.7890625,0.25925925925925924,1.0,False,False,False,False,2
conservation_rna_esm_if1-EsCas13d-6E9F-seed20260801,EsCas13d,6E9F,conservation_rna_esm_if1,20260801,0.4192872117400419,0.2805194805194805,-1726.401520209096,-1.9981499076494165,7.375398300753659,0,0.45849802371541504,0.7890625,0.4074074074074074,1.0,False,False,False,False,2
proteinmpnn-EsCas13d-6E9F-seed20260801,EsCas13d,6E9F,proteinmpnn,20260801,0.37840670859538783,0.22987012987012986,-2231.6967597927433,-2.5829823608712306,13.236555537323937,0,0.39920948616600793,0.7734375,0.2814814814814815,1.0,False,False,False,False,2
ligandmpnn-EsCas13d-6E9F-seed20260801,EsCas13d,6E9F,ligandmpnn,20260801,0.3920335429769392,0.24675324675324675,-2194.1703226257814,-2.5395489845205805,12.673953532375625,0,0.4407114624505929,0.765625,0.34814814814814815,1.0,True,False,False,False,2
esm_ligand_consensus-EsCas13d-6E9F-seed20260801,EsCas13d,6E9F,esm_ligand_consensus,20260801,0.4109014675052411,0.2701298701298701,-1729.8718072056072,-2.002166443525008,7.40508142438551,0,0.48221343873517786,0.78125,0.4222222222222222,1.0,True,False,False,False,2
common_safety_mask_esm_if1-EsCas13d-6E9F-seed20260802,EsCas13d,6E9F,common_safety_mask_esm_if1,20260802,0.3689727463312369,0.21818181818181817,-1752.4056145122158,-2.0282472390187682,7.600752374360074,0,0.3715415019762846,0.796875,0.22962962962962963,1.0,False,False,False,False,2
conservation_esm_if1-EsCas13d-6E9F-seed20260802,EsCas13d,6E9F,conservation_esm_if1,20260802,0.389937106918239,0.24415584415584415,-1748.5325567139662,-2.023764533233757,7.566756690971984,0,0.41106719367588934,0.8125,0.2814814814814815,1.0,False,False,False,False,2
conservation_rna_esm_if1-EsCas13d-6E9F-seed20260802,EsCas13d,6E9F,conservation_rna_esm_if1,20260802,0.4088050314465409,0.2675324675324675,-1755.8266092656995,-2.0322067236871524,7.630907096037693,0,0.4407114624505929,0.8125,0.42962962962962964,1.0,False,False,False,False,2
proteinmpnn-EsCas13d-6E9F-seed20260802,EsCas13d,6E9F,proteinmpnn,20260802,0.37945492662473795,0.23116883116883116,-2245.3806244115694,-2.59882016714302,13.44786244160516,0,0.40711462450592883,0.7734375,0.26666666666666666,1.0,False,False,False,False,2
